resource_key,action_key,display_name,context_type,risk_level
basic,create,Create basic,COLLECTION,STANDARD
basic,list,List basic,COLLECTION,STANDARD
basic,read,Read basic,INSTANCE,STANDARD
basic,update,Update basic,INSTANCE,ELEVATED
basic,delete,Delete basic,INSTANCE,ELEVATED
basic,assign,Assign basic,INSTANCE,ELEVATED
binary,create,Create binary,COLLECTION,STANDARD
binary,list,List binary,COLLECTION,STANDARD
binary,read,Read binary,INSTANCE,STANDARD
binary,update,Update binary,INSTANCE,ELEVATED
binary,delete,Delete binary,INSTANCE,ELEVATED
binary,assign,Assign binary,INSTANCE,ELEVATED
bundle,create,Create bundle,COLLECTION,STANDARD
bundle,list,List bundle,COLLECTION,STANDARD
bundle,read,Read bundle,INSTANCE,STANDARD
bundle,update,Update bundle,INSTANCE,ELEVATED
bundle,delete,Delete bundle,INSTANCE,ELEVATED
bundle,assign,Assign bundle,INSTANCE,ELEVATED
operation_outcome,create,Create operation outcome,COLLECTION,STANDARD
operation_outcome,list,List operation outcome,COLLECTION,STANDARD
operation_outcome,read,Read operation outcome,INSTANCE,STANDARD
operation_outcome,update,Update operation outcome,INSTANCE,ELEVATED
operation_outcome,delete,Delete operation outcome,INSTANCE,ELEVATED
operation_outcome,assign,Assign operation outcome,INSTANCE,ELEVATED
parameters,create,Create parameters,COLLECTION,STANDARD
parameters,list,List parameters,COLLECTION,STANDARD
parameters,read,Read parameters,INSTANCE,STANDARD
parameters,update,Update parameters,INSTANCE,ELEVATED
parameters,delete,Delete parameters,INSTANCE,ELEVATED
parameters,assign,Assign parameters,INSTANCE,ELEVATED
practitioner,create,Create practitioner,COLLECTION,STANDARD
practitioner,list,List practitioner,COLLECTION,STANDARD
practitioner,read,Read practitioner,INSTANCE,STANDARD
practitioner,update,Update practitioner,INSTANCE,ELEVATED
practitioner,delete,Delete practitioner,INSTANCE,ELEVATED
practitioner,assign,Assign practitioner,INSTANCE,ELEVATED
practitioner_role,create,Create practitioner role,COLLECTION,STANDARD
practitioner_role,list,List practitioner role,COLLECTION,STANDARD
